,depth,p_sex,p_age,count,mean,std,min,Q1,median_growth,Q3,max,median_wage,category
178,14,2,54,1.0,1000.0,,1000.0,1000.0,4.04,1000.0,1000.0,1000.0,2_depth
179,14,2,55,1.0,300.0,,300.0,300.0,-8.12,300.0,300.0,300.0,2_depth
180,14,2,59,1.0,300.0,,300.0,300.0,,300.0,300.0,300.0,2_depth
181,14,2,60,1.0,300.0,,300.0,300.0,0.0,300.0,300.0,300.0,2_depth
182,14,2,61,1.0,300.0,,300.0,300.0,0.0,300.0,300.0,300.0,2_depth
183,14,2,62,1.0,300.0,,300.0,300.0,0.0,300.0,300.0,300.0,2_depth
184,14,2,63,1.0,300.0,,300.0,300.0,0.0,300.0,300.0,300.0,2_depth
185,14,2,64,1.0,300.0,,300.0,300.0,0.0,300.0,300.0,300.0,2_depth
186,14,2,65,1.0,200.0,,200.0,200.0,-6.53,200.0,200.0,200.0,2_depth
187,14,2,66,1.0,300.0,,300.0,300.0,0.0,300.0,300.0,300.0,2_depth
188,14,2,67,1.0,300.0,,300.0,300.0,0.0,300.0,300.0,300.0,2_depth
189,15,1,26,1.0,215.0,,215.0,215.0,,215.0,215.0,215.0,2_depth
190,15,1,29,1.0,400.0,,400.0,400.0,,400.0,400.0,400.0,2_depth
191,15,1,30,1.0,450.0,,450.0,450.0,12.5,450.0,450.0,450.0,2_depth
192,15,1,32,1.0,350.0,,350.0,350.0,,350.0,350.0,350.0,2_depth
193,15,1,33,1.0,720.0,,720.0,720.0,105.71,720.0,720.0,720.0,2_depth
194,15,1,34,1.0,1000.0,,1000.0,1000.0,69.03,1000.0,1000.0,1000.0,2_depth
195,15,1,35,4.0,547.5,310.42,340.0,347.5,41.9,625.0,1000.0,425.0,2_depth
196,15,1,36,4.0,485.0,162.99,340.0,347.5,0.0,612.5,650.0,475.0,2_depth
197,15,1,37,4.0,600.0,216.02,400.0,475.0,14.63,675.0,900.0,550.0,2_depth
198,15,1,38,7.0,492.86,183.55,250.0,350.0,12.98,650.0,700.0,500.0,2_depth
199,15,1,39,8.0,516.25,253.77,230.0,300.0,7.69,625.0,1000.0,500.0,2_depth
200,15,1,40,9.0,392.22,247.12,60.0,250.0,8.02,500.0,900.0,300.0,2_depth
201,15,1,41,9.0,458.89,237.35,250.0,280.0,10.7,500.0,900.0,400.0,2_depth
