,depth,depth2,p_sex,p_sex2,p_age_range,median_growth,median_wage,count2
0,,26,,2,70~74,,,0.0
0,,26,,2,75~79,,,0.0
0,,26,,2,80~84,,,0.0
0,,26,,2,85~89,,,0.0
0,,26,,2,90~94,,,0.0
0,,26,,2,95~99,,,0.0
0,27.0,27,1.0,1,20~24,-1.31,227.0,5.0
0,27.0,27,1.0,1,25~29,7.14,234.3,99.0
0,27.0,27,1.0,1,30~34,8.1,322.2,226.0
0,27.0,27,1.0,1,35~39,4.11,412.1,366.0
0,27.0,27,1.0,1,40~44,2.16,451.3,392.0
0,27.0,27,1.0,1,45~49,1.95,457.8,323.0
0,27.0,27,1.0,1,50~54,0.7,409.7,237.0
0,27.0,27,1.0,1,55~59,-1.32,410.6,178.0
0,27.0,27,1.0,1,60~64,-2.47,302.7,108.0
0,27.0,27,1.0,1,65~69,-6.57,178.6,34.0
0,27.0,27,1.0,1,70~74,14.49,151.6,19.0
0,27.0,27,1.0,1,75~79,-2.53,136.2,12.0
0,27.0,27,1.0,1,80~84,39.56,210.5,4.0
0,27.0,27,1.0,1,85~89,3.63,93.0,3.0
0,27.0,27,1.0,1,90~94,1.56,81.0,2.0
0,,27,,1,95~99,,,0.0
0,27.0,27,2.0,2,20~24,1.38,188.33,5.0
0,27.0,27,2.0,2,25~29,9.35,238.0,47.0
0,27.0,27,2.0,2,30~34,4.03,277.5,78.0
0,27.0,27,2.0,2,35~39,2.36,291.9,53.0
0,27.0,27,2.0,2,40~44,2.73,319.1,75.0
0,27.0,27,2.0,2,45~49,5.1,288.4,88.0
0,27.0,27,2.0,2,50~54,4.01,273.4,70.0
0,27.0,27,2.0,2,55~59,3.55,276.8,40.0
0,27.0,27,2.0,2,60~64,9.04,236.6,24.0
0,27.0,27,2.0,2,65~69,-7.0,209.4,8.0
0,27.0,27,2.0,2,70~74,24.73,113.6,13.0
0,27.0,27,2.0,2,75~79,1.62,105.0,1.0
0,,27,,2,80~84,,,0.0
0,,27,,2,85~89,,,0.0
0,,27,,2,90~94,,,0.0
0,,27,,2,95~99,,,0.0
0,28.0,28,1.0,1,20~24,-16.63,178.2,19.0
0,28.0,28,1.0,1,25~29,11.01,213.8,134.0
0,28.0,28,1.0,1,30~34,6.16,255.9,199.0
0,28.0,28,1.0,1,35~39,4.07,326.0,228.0
0,28.0,28,1.0,1,40~44,2.59,350.4,166.0
0,28.0,28,1.0,1,45~49,-1.8,383.8,99.0
0,28.0,28,1.0,1,50~54,0.26,428.7,59.0
0,28.0,28,1.0,1,55~59,-4.64,272.6,15.0
0,28.0,28,1.0,1,60~64,17.74,231.3,14.0
0,28.0,28,1.0,1,65~69,-8.82,211.5,2.0
0,,28,,1,70~74,,,0.0
0,,28,,1,75~79,,,0.0
0,,28,,1,80~84,,,0.0
0,,28,,1,85~89,,,0.0
0,,28,,1,90~94,,,0.0
0,,28,,1,95~99,,,0.0
0,28.0,28,2.0,2,20~24,6.92,171.8,83.0
0,28.0,28,2.0,2,25~29,7.48,218.1,214.0
0,28.0,28,2.0,2,30~34,3.42,254.2,173.0
0,28.0,28,2.0,2,35~39,2.84,272.9,123.0
0,28.0,28,2.0,2,40~44,3.63,247.5,84.0
0,28.0,28,2.0,2,45~49,2.07,250.4,47.0
0,28.0,28,2.0,2,50~54,12.54,373.2,15.0
0,28.0,28,2.0,2,55~59,17.97,270.25,10.0
0,28.0,28,2.0,2,60~64,4.47,233.2,12.0
0,28.0,28,2.0,2,65~69,6.51,74.0,2.0
0,28.0,28,2.0,2,70~74,4.16,135.33,3.0
0,,28,,2,75~79,,,0.0
0,,28,,2,80~84,,,0.0
0,,28,,2,85~89,,,0.0
0,,28,,2,90~94,,,0.0
0,,28,,2,95~99,,,0.0
0,31.0,31,1.0,1,20~24,2.36,202.2,61.0
0,31.0,31,1.0,1,25~29,5.82,241.0,496.0
0,31.0,31,1.0,1,30~34,4.15,299.3,1111.0
0,31.0,31,1.0,1,35~39,4.19,350.5,1634.0
0,31.0,31,1.0,1,40~44,3.59,400.9,1755.0
0,31.0,31,1.0,1,45~49,2.6,425.7,1413.0
0,31.0,31,1.0,1,50~54,1.74,442.8,893.0
0,31.0,31,1.0,1,55~59,1.06,433.5,629.0
0,31.0,31,1.0,1,60~64,0.58,312.8,305.0
0,31.0,31,1.0,1,65~69,0.17,275.0,128.0
