,depth2,p_sex2,p_age_range,median_wage
4,74,1,40~44,322.1
5,74,1,45~49,336.4
6,74,1,50~54,319.4
7,74,1,55~59,274.2
8,74,1,60~64,243.2
9,74,1,65~69,243.4
10,74,1,70~74,189.2
11,74,1,75~79,204.5
0,74,2,20~24,154.0
1,74,2,25~29,232.5
2,74,2,30~34,160.67
3,74,2,35~39,194.25
4,74,2,40~44,136.4
5,74,2,45~49,170.7
6,74,2,50~54,155.9
7,74,2,55~59,164.3
8,74,2,60~64,179.1
9,74,2,65~69,152.5
0,75,1,20~24,181.4
1,75,1,25~29,241.2
2,75,1,30~34,300.0
3,75,1,35~39,319.9
4,75,1,40~44,326.5
5,75,1,45~49,370.1
6,75,1,50~54,386.6
7,75,1,55~59,325.6
8,75,1,60~64,253.8
9,75,1,65~69,196.0
10,75,1,70~74,139.1
11,75,1,75~79,80.4
0,75,2,20~24,0.0
1,75,2,25~29,232.0
2,75,2,30~34,196.5
3,75,2,35~39,233.67
4,75,2,40~44,162.75
5,75,2,45~49,159.5
6,75,2,50~54,166.0
7,75,2,55~59,231.75
8,75,2,60~64,166.0
9,75,2,65~69,237.8
10,75,2,70~74,257.0
0,76,1,20~24,195.0
1,76,1,25~29,228.5
2,76,1,30~34,295.3
3,76,1,35~39,327.0
4,76,1,40~44,334.6
5,76,1,45~49,353.9
6,76,1,50~54,358.3
7,76,1,55~59,333.6
8,76,1,60~64,295.6
9,76,1,65~69,351.4
10,76,1,70~74,109.0
0,76,2,20~24,210.67
1,76,2,25~29,0.0
2,76,2,30~34,213.0
3,76,2,35~39,205.2
4,76,2,40~44,141.7
5,76,2,45~49,152.9
6,76,2,50~54,164.5
7,76,2,55~59,251.4
8,76,2,60~64,0.0
0,77,1,20~24,166.6
1,77,1,25~29,223.1
2,77,1,30~34,247.6
3,77,1,35~39,296.3
4,77,1,40~44,325.5
5,77,1,45~49,360.2
6,77,1,50~54,336.4
7,77,1,55~59,315.4
8,77,1,60~64,208.9
9,77,1,65~69,146.75
0,77,2,20~24,197.0
1,77,2,25~29,287.0
2,77,2,30~34,263.0
3,77,2,35~39,331.67
4,77,2,40~44,243.9
5,77,2,45~49,184.88
6,77,2,50~54,0.0
7,77,2,55~59,0.0
8,77,2,60~64,0.0
0,78,1,20~24,223.7
1,78,1,25~29,238.8
2,78,1,30~34,274.6
3,78,1,35~39,316.7
4,78,1,40~44,299.1
5,78,1,45~49,297.3
6,78,1,50~54,290.2
7,78,1,55~59,289.8
8,78,1,60~64,254.9
9,78,1,65~69,214.3
10,78,1,70~74,224.7
11,78,1,75~79,208.25
0,78,2,20~24,199.0
1,78,2,25~29,214.0
2,78,2,30~34,189.0
3,78,2,35~39,204.25
4,78,2,40~44,211.0
5,78,2,45~49,184.9
6,78,2,50~54,225.1
7,78,2,55~59,181.8
8,78,2,60~64,210.88
9,78,2,65~69,130.5
0,79,1,20~24,284.83
1,79,1,25~29,241.5
2,79,1,30~34,293.2
3,79,1,35~39,312.4
4,79,1,40~44,317.1
5,79,1,45~49,375.9
6,79,1,50~54,288.2
7,79,1,55~59,261.9
8,79,1,60~64,266.6
9,79,1,65~69,179.0
10,79,1,70~74,169.8
11,79,1,75~79,201.5
0,79,2,20~24,142.0
1,79,2,25~29,200.0
2,79,2,30~34,177.67
3,79,2,35~39,123.0
4,79,2,40~44,181.7
5,79,2,45~49,119.5
6,79,2,50~54,147.4
7,79,2,55~59,125.0
8,79,2,60~64,81.25
0,81,1,20~24,301.0
1,81,1,25~29,243.7
2,81,1,30~34,255.6
3,81,1,35~39,382.4
4,81,1,40~44,407.4
5,81,1,45~49,404.7
6,81,1,50~54,415.1
7,81,1,55~59,403.9
8,81,1,60~64,256.3
9,81,1,65~69,225.5
0,81,2,20~24,0.0
1,81,2,25~29,261.25
2,81,2,30~34,389.0
3,81,2,35~39,0.0
4,81,2,40~44,186.5
5,81,2,45~49,142.8
6,81,2,50~54,189.5
7,81,2,55~59,275.0
8,81,2,60~64,196.8
9,81,2,65~69,166.7
10,81,2,70~74,164.88
0,82,1,20~24,0.0
1,82,1,25~29,201.25
2,82,1,30~34,230.9
3,82,1,35~39,264.2
4,82,1,40~44,269.8
5,82,1,45~49,283.9
6,82,1,50~54,294.9
7,82,1,55~59,262.8
8,82,1,60~64,266.4
9,82,1,65~69,199.4
10,82,1,70~74,211.5
11,82,1,75~79,193.67
0,82,2,20~24,120.0
1,82,2,25~29,179.0
2,82,2,30~34,172.33
3,82,2,35~39,159.6
4,82,2,40~44,198.7
5,82,2,45~49,179.8
6,82,2,50~54,160.0
7,82,2,55~59,170.4
8,82,2,60~64,188.38
